ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
54,0.0425531914893617,0.0,0.1111111111111111,0.9691011235955056,0.9557399723374828,0.9814550641940085,0.08333333333333333,0.0,0.21428571428571427,0.5058271575424337,0.48174157303370785,0.540340909090909,0.9117259552042161,0.8906455862977603,0.9314888010540184,2,0.0,5.0,45,32.0,58.0,690,674.0,705.0,22,13.0,32.0
35,0.02127659574468085,0.0,0.07272727272727272,0.952247191011236,0.9356643356643357,0.9672364672364673,0.02857142857142857,0.0,0.1,0.48676189337795844,0.4698879551820728,0.5136048644609009,0.8945981554677207,0.8722002635046113,0.9156785243741765,1,0.0,3.0,46,33.0,59.0,678,661.0,694.0,34,23.0,46.0
45,0.02127659574468085,0.0,0.07142857142857142,0.9480337078651685,0.9312762973352033,0.9637883008356546,0.02631578947368421,0.0,0.09090909090909091,0.4846551518049247,0.4675414364640884,0.5106156274664562,0.8906455862977603,0.8682476943346509,0.9130434782608695,1,0.0,3.0,46,34.0,59.0,675,658.0,692.0,37,26.0,49.0
36,0.0,0.0,0.0,0.9887640449438202,0.9803370786516854,0.9957924263674615,0.0,0.0,0.0,0.4943820224719101,0.4901685393258427,0.49789621318373073,0.927536231884058,0.9090909090909091,0.9446640316205533,0,0.0,0.0,47,35.0,60.0,704,690.0,717.0,8,3.0,14.0
37,0.0,0.0,0.0,0.9845505617977528,0.9747899159663865,0.9929873772791024,0.0,0.0,0.0,0.4922752808988764,0.48739495798319327,0.4964936886395512,0.9235836627140975,0.9038208168642952,0.9420289855072463,0,0.0,0.0,47,34.0,60.0,701,686.0,715.0,11,5.0,18.0
39,0.0,0.0,0.0,0.9887640449438202,0.9803370786516854,0.9957983193277311,0.0,0.0,0.0,0.4943820224719101,0.4901685393258427,0.49789915966386555,0.927536231884058,0.9077733860342556,0.9459815546772069,0,0.0,0.0,47,34.0,60.0,704,689.0,718.0,8,3.0,14.0
43,0.0,0.0,0.0,0.9845505617977528,0.9748251748251748,0.9929775280898876,0.0,0.0,0.0,0.4922752808988764,0.4874125874125874,0.4964887640449438,0.9235836627140975,0.9038208168642952,0.9420289855072463,0,0.0,0.0,47,34.0,60.0,701,686.0,715.0,11,5.0,18.0
44,0.0,0.0,0.0,0.9592696629213483,0.9438990182328191,0.972972972972973,0.0,0.0,0.0,0.47963483146067415,0.47194950911640954,0.4864864864864865,0.8998682476943346,0.8774703557312253,0.9209486166007905,0,0.0,0.0,47,34.0,60.0,683,666.0,699.0,29,19.0,40.0
46,0.0,0.0,0.0,0.9564606741573034,0.9410112359550562,0.9707520891364902,0.0,0.0,0.0,0.4782303370786517,0.4705056179775281,0.4853760445682451,0.8972332015810277,0.8748353096179183,0.9183135704874835,0,0.0,0.0,47,35.0,61.0,681,664.0,697.0,31,21.0,42.0
47,0.0,0.0,0.0,0.9831460674157303,0.9731258840169731,0.9916317991631799,0.0,0.0,0.0,0.49157303370786515,0.48656294200848654,0.49581589958158995,0.922266139657444,0.9025032938076416,0.9407114624505929,0,0.0,0.0,47,35.0,60.0,700,685.0,714.0,12,6.0,19.0
48,0.0,0.0,0.0,0.9648876404494382,0.9507735583684951,0.9775280898876404,0.0,0.0,0.0,0.4824438202247191,0.47538677918424754,0.4887640449438202,0.9051383399209486,0.8840579710144928,0.924901185770751,0,0.0,0.0,47,35.0,61.0,687,671.0,702.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9789325842696629,0.9676511954992968,0.9887798036465638,0.0,0.0,0.0,0.48946629213483145,0.4838255977496484,0.4943899018232819,0.9183135704874835,0.8985507246376812,0.9380764163372859,0,0.0,0.0,47,34.0,60.0,697,682.0,712.0,15,8.0,23.0
50,0.0,0.0,0.0,0.9859550561797753,0.9763888888888889,0.9943502824858758,0.0,0.0,0.0,0.49297752808988765,0.48819444444444443,0.4971751412429379,0.924901185770751,0.9051383399209486,0.9433465085638999,0,0.0,0.0,47,34.0,61.0,702,687.0,716.0,10,4.0,17.0
