ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
54,0.0425531914893617,0.0,0.1111111111111111,0.9707446808510638,0.9584450402144772,0.9817232375979112,0.08333333333333333,0.0,0.21428571428571427,0.5066489361702128,0.48271276595744683,0.5405585106382979,0.9161451814768461,0.8973717146433041,0.934918648310388,2,0.0,5.0,45,32.0,58.0,730,714.0,745.0,22,14.0,31.0
35,0.02127659574468085,0.0,0.07407407407407407,0.9547872340425532,0.9389110225763613,0.9693333333333334,0.02857142857142857,0.0,0.0967741935483871,0.488031914893617,0.4713333333333333,0.5148163265306123,0.899874843554443,0.8785982478097623,0.9211514392991239,1,0.0,3.0,46,33.0,59.0,718,701.0,735.0,34,23.0,46.0
45,0.02127659574468085,0.0,0.07142857142857142,0.9507978723404256,0.9348404255319149,0.9655172413793104,0.02631578947368421,0.0,0.08823529411764706,0.4860372340425532,0.46937416777629826,0.5121790333998327,0.8961201501877347,0.8748435544430538,0.9173967459324155,1,0.0,3.0,46,34.0,59.0,715,698.0,732.0,37,26.0,49.0
36,0.0,0.0,0.0,0.9893617021276596,0.9813829787234043,0.9960212201591512,0.0,0.0,0.0,0.4946808510638298,0.49069148936170215,0.4980106100795756,0.9311639549436797,0.9136420525657072,0.9486858573216521,0,0.0,0.0,47,34.0,60.0,744,730.0,758.0,8,3.0,14.0
37,0.0,0.0,0.0,0.9853723404255319,0.9761904761904762,0.9933598937583001,0.0,0.0,0.0,0.49268617021276595,0.4880952380952381,0.49667994687915007,0.9274092615769712,0.9086357947434293,0.9449311639549437,0,0.0,0.0,47,34.0,61.0,741,726.0,755.0,11,5.0,18.0
39,0.0,0.0,0.0,0.9893617021276596,0.9814323607427056,0.9960159362549801,0.0,0.0,0.0,0.4946808510638298,0.4907161803713528,0.49800796812749004,0.9311639549436797,0.9136420525657072,0.9486858573216521,0,0.0,0.0,47,34.0,60.0,744,730.0,758.0,8,3.0,14.0
43,0.0,0.0,0.0,0.9853723404255319,0.976158940397351,0.9933598937583001,0.0,0.0,0.0,0.49268617021276595,0.4880794701986755,0.49667994687915007,0.9274092615769712,0.9086357947434293,0.9449311639549437,0,0.0,0.0,47,35.0,61.0,741,726.0,755.0,11,5.0,18.0
44,0.0,0.0,0.0,0.961436170212766,0.9471598414795245,0.9748010610079576,0.0,0.0,0.0,0.480718085106383,0.47357992073976224,0.4874005305039788,0.904881101376721,0.8848560700876095,0.9249061326658323,0,0.0,0.0,47,34.0,61.0,723,707.0,739.0,29,19.0,40.0
46,0.0,0.0,0.0,0.9587765957446809,0.9443708609271523,0.9723684210526315,0.0,0.0,0.0,0.47938829787234044,0.47218543046357614,0.4861842105263158,0.9023779724655819,0.8823529411764706,0.9224030037546934,0,0.0,0.0,47,34.0,60.0,721,705.0,737.0,31,21.0,42.0
47,0.0,0.0,0.0,0.9840425531914894,0.9746666666666667,0.9920634920634921,0.0,0.0,0.0,0.4920212765957447,0.48733333333333334,0.49603174603174605,0.9261576971214017,0.9073842302878599,0.9436795994993742,0,0.0,0.0,47,34.0,61.0,740,725.0,754.0,12,6.0,19.0
48,0.0,0.0,0.0,0.9667553191489362,0.9532710280373832,0.9788639365918098,0.0,0.0,0.0,0.4833776595744681,0.4766355140186916,0.4894319682959049,0.9098873591989988,0.8886107634543179,0.9299123904881101,0,0.0,0.0,47,35.0,61.0,727,710.0,743.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9800531914893617,0.9694960212201591,0.9893899204244032,0.0,0.0,0.0,0.4900265957446808,0.48474801061007955,0.4946949602122016,0.9224030037546934,0.9036295369211514,0.9411764705882353,0,0.0,0.0,47,35.0,60.0,737,722.0,752.0,15,8.0,23.0
50,0.0,0.0,0.0,0.9867021276595744,0.9776021080368906,0.9946452476572959,0.0,0.0,0.0,0.4933510638297872,0.4888010540184453,0.49732262382864795,0.9286608260325406,0.9098873591989988,0.9461827284105131,0,0.0,0.0,47,34.0,60.0,742,727.0,756.0,10,4.0,17.0
